ANO,Q006,UF,INSCRICOES,PARTICIPANTES
2019,A,AC,3224,2084
2019,A,AL,6791,4811
2019,A,AM,8733,5157
2019,A,AP,2840,1866
2019,A,BA,29858,20638
2019,A,CE,19117,13788
2019,A,DF,2536,1515
2019,A,ES,2844,1711
2019,A,GO,3687,2339
2019,A,MA,19327,14128
2019,A,MG,12584,8116
2019,A,MS,1777,1069
2019,A,MT,1888,1129
2019,A,PA,19160,13464
2019,A,PB,11491,8596
2019,A,PE,19944,13746
2019,A,PI,12877,9874
2019,A,PR,3061,1788
2019,A,RJ,10898,6807
2019,A,RN,7343,5326
2019,A,RO,2154,1355
2019,A,RR,611,385
2019,A,RS,3927,2402
2019,A,SC,1271,737
2019,A,SE,6168,4507
2019,A,SP,15710,9274
2019,A,TO,2249,1476
2019,B,AC,14927,10354
2019,B,AL,35294,25760
2019,B,AM,41168,25097
2019,B,AP,17084,11599
2019,B,BA,148527,105239
2019,B,CE,127477,94214
2019,B,DF,14662,9392
2019,B,ES,18115,11793
2019,B,GO,31149,20806
2019,B,MA,90350,66830
2019,B,MG,96750,66086
2019,B,MS,12733,7893
2019,B,MT,14300,8848
2019,B,PA,107411,77986
2019,B,PB,55979,42636
2019,B,PE,104131,75250
2019,B,PI,50523,38828
2019,B,PR,19215,12066
2019,B,RJ,57565,37885
2019,B,RN,41211,30544
2019,B,RO,13557,8839
2019,B,RR,3642,2291
2019,B,RS,26184,17174
2019,B,SC,7798,4738
2019,B,SE,30574,22691
2019,B,SP,78933,47883
2019,B,TO,13966,9595
2019,C,AC,10296,7256
2019,C,AL,23031,16970
2019,C,AM,36049,22195
2019,C,AP,11637,7942
2019,C,BA,104984,74239
2019,C,CE,78891,58148
2019,C,DF,24194,15935
2019,C,ES,28813,19181
2019,C,GO,49376,33961
2019,C,MA,57892,42626
2019,C,MG,141105,97162
2019,C,MS,20498,13249
2019,C,MT,24634,15855
2019,C,PA,78111,56927
2019,C,PB,37668,28456
2019,C,PE,71023,52197
2019,C,PI,28326,21628
2019,C,PR,48315,31292
2019,C,RJ,89871,61136
2019,C,RN,30170,22325
2019,C,RO,18560,12355
2019,C,RR,3638,2310
2019,C,RS,53924,35663
2019,C,SC,21743,13934
2019,C,SE,19362,14448
2019,C,SP,186457,118776
2019,C,TO,12876,8819
2019,C,AC,2541,1879
2019,C,AL,6567,5051
2019,C,AM,8732,5737
2019,C,AP,2556,1833
2019,C,BA,29558,21952
2019,C,CE,17656,13292
2019,C,DF,9375,6437
2019,C,ES,11882,8282
2019,C,GO,20738,14858
2019,C,MA,13796,10392
2019,C,MG,62841,45368
2019,C,MS,8531,5850
2019,C,MT,10862,7241
2019,C,PA,20652,15398
2019,C,PB,10951,8496
2019,C,PE,20312,15546
2019,C,PI,8090,6402
2019,C,PR,28262,19412
2019,C,RJ,37949,27248
2019,C,RN,9897,7499
2019,C,RO,6232,4373
2019,C,RR,990,683
2019,C,RS,28751,19967
